fiscal_year,other_unallocated,total_ty_dol_m,weighted_rate,program,appn_account,file,page,total_cy,base_year,end_item_recurring_flyaway,10_unit_level_manpower,30_maintenance,40_sustaining_support,50_continuing_system_improvements,nonend_item_recurring_flyaway,non_recurring_flyaway,initial_spares,20_unit_operations,depot_activation,other,10_unitlevel_manpower,nonend_end_item_item_non_recurring_recurring_recurring_depot_flyaway_flyaway_flyaway_initial_spares_activation,nonrecurring_flyaway,other_indirect_costs
Total,"1,422.2","1,422.2",,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,"1 , 4 07.9",2017.0,,,,,,,,,,,,,,,
2003,12.300,12.3,0.781970,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,15.7,2017.0,,,,,,,,,,,,,,,
2004,15.730,15.7,0.803798,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,19.6,2017.0,,,,,,,,,,,,,,,
2005,24.190,24.2,0.824954,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,29.3,2017.0,,,,,,,,,,,,,,,
2006,33.450,33.5,0.850659,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,39.3,2017.0,,,,,,,,,,,,,,,
2007,26.700,26.7,0.871495,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,30.6,2017.0,,,,,,,,,,,,,,,
2008,34.390,34.4,0.887392,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,38.8,2017.0,,,,,,,,,,,,,,,
2009,45.480,45.5,0.898786,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,50.6,2017.0,,,,,,,,,,,,,,,
2010,64.480,64.5,0.912268,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,70.7,2017.0,,,,,,,,,,,,,,,
2011,65.160,65.2,0.934050,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,69.8,2017.0,,,,,,,,,,,,,,,
2012,40.400,40.4,0.949541,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,42.5,2017.0,,,,,,,,,,,,,,,
2013,52.940,52.9,0.959512,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,55.2,2017.0,,,,,,,,,,,,,,,
2014,72.260,72.3,0.973069,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,74.3,2017.0,,,,,,,,,,,,,,,
2015,117.480,117.5,0.985313,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,119.2,2017.0,,,,,,,,,,,,,,,
2016,106.770,106.8,1.003600,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,106.4,2017.0,,,,,,,,,,,,,,,
2017,100.400,100.4,1.022378,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,98.2,2017.0,,,,,,,,,,,,,,,
2018,166.630,166.6,1.047421,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,159.1,2017.0,,,,,,,,,,,,,,,
2019,168.430,168.4,1.067594,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,157.8,2017.0,,,,,,,,,,,,,,,
2020,122.500,122.5,1.106854,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,110.7,2017.0,,,,,,,,,,,,,,,
2021,63.700,63.7,1.156600,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,55.1,2017.0,,,,,,,,,,,,,,,
2022,0.150,0.2,1.217024,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,0.1,2017.0,,,,,,,,,,,,,,,
2023,0.150,0.2,1.253255,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,0.1,2017.0,,,,,,,,,,,,,,,
2024,10.660,10.7,1.281864,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,8.3,2017.0,,,,,,,,,,,,,,,
2025,9.140,9.1,1.309056,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,7.0,2017.0,,,,,,,,,,,,,,,
2026,14.040,14.0,1.336546,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,10.5,2017.0,,,,,,,,,,,,,,,
2027,10.560,10.6,1.364614,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,7.7,2017.0,,,,,,,,,,,,,,,
2028,21.850,21.9,1.393271,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,15.7,2017.0,,,,,,,,,,,,,,,
2029,22.300,22.3,1.422529,Advanced Arresting Gear,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,40,15.7,2017.0,,,,,,,,,,,,,,,
Total,,183.8,,Advanced Arresting Gear,"1810N - Other Procurement, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,41,1 70.9,2017.0,183.8,,,,,,,,,,,,,,
2003,,,0.792647,Advanced Arresting Gear,"1810N - Other Procurement, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,41,,2017.0,,,,,,,,,,,,,,,
2004,,,0.812203,Advanced Arresting Gear,"1810N - Other Procurement, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,41,,2017.0,,,,,,,,,,,,,,,
2005,,,0.835071,Advanced Arresting Gear,"1810N - Other Procurement, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,41,,2017.0,,,,,,,,,,,,,,,
2006,,,0.862741,Advanced Arresting Gear,"1810N - Other Procurement, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,41,,2017.0,,,,,,,,,,,,,,,
2007,,,0.881521,Advanced Arresting Gear,"1810N - Other Procurement, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,41,,2017.0,,,,,,,,,,,,,,,
2008,,,0.895847,Advanced Arresting Gear,"1810N - Other Procurement, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,41,,2017.0,,,,,,,,,,,,,,,
2009,,,0.907656,Advanced Arresting Gear,"1810N - Other Procurement, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,41,,2017.0,,,,,,,,,,,,,,,
2010,,,0.925199,Advanced Arresting Gear,"1810N - Other Procurement, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,41,,2017.0,,,,,,,,,,,,,,,
2011,,,0.938728,Advanced Arresting Gear,"1810N - Other Procurement, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,41,,2017.0,,,,,,,,,,,,,,,
2012,,1.4,0.953663,Advanced Arresting Gear,"1810N - Other Procurement, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,41,1.5,2017.0,1.400,,,,,,,,,,,,,,
2013,,52.9,0.966722,Advanced Arresting Gear,"1810N - Other Procurement, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,41,54.7,2017.0,52.860,,,,,,,,,,,,,,
2014,,7.1,0.979587,Advanced Arresting Gear,"1810N - Other Procurement, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,41,7.2,2017.0,7.070,,,,,,,,,,,,,,
2015,,16.0,0.993714,Advanced Arresting Gear,"1810N - Other Procurement, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,41,16.1,2017.0,15.990,,,,,,,,,,,,,,
2016,,9.7,1.011703,Advanced Arresting Gear,"1810N - Other Procurement, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,41,9.5,2017.0,9.660,,,,,,,,,,,,,,
2017,,2.2,1.033192,Advanced Arresting Gear,"1810N - Other Procurement, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,41,2.2,2017.0,2.230,,,,,,,,,,,,,,
2018,,10.9,1.056737,Advanced Arresting Gear,"1810N - Other Procurement, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,41,10.3,2017.0,10.900,,,,,,,,,,,,,,
2019,,11.1,1.082380,Advanced Arresting Gear,"1810N - Other Procurement, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,41,10.2,2017.0,11.050,,,,,,,,,,,,,,
2020,,4.7,1.120493,Advanced Arresting Gear,"1810N - Other Procurement, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,41,4.2,2017.0,4.730,,,,,,,,,,,,,,
2021,,16.1,1.175308,Advanced Arresting Gear,"1810N - Other Procurement, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,41,13.7,2017.0,16.060,,,,,,,,,,,,,,
2022,,22.3,1.225155,Advanced Arresting Gear,"1810N - Other Procurement, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,41,18.2,2017.0,22.270,,,,,,,,,,,,,,
2023,,15.4,1.260622,Advanced Arresting Gear,"1810N - Other Procurement, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,41,12.2,2017.0,15.410,,,,,,,,,,,,,,
2024,,11.9,1.289197,Advanced Arresting Gear,"1810N - Other Procurement, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,41,9.3,2017.0,11.930,,,,,,,,,,,,,,
2025,,2.2,1.316536,Advanced Arresting Gear,"1810N - Other Procurement, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,41,1.7,2017.0,2.240,,,,,,,,,,,,,,
Total,,"1,383.6",,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,42,"1 , 1 43.7",2017.0,"1,383.6",,,,,,,,,,,,,,
2003,,,0.701354,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,42,,2017.0,,,,,,,,,,,,,,,
2004,,,0.726797,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,42,,2017.0,,,,,,,,,,,,,,,
2005,,,0.759012,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,42,,2017.0,,,,,,,,,,,,,,,
2006,,,0.785780,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,42,,2017.0,,,,,,,,,,,,,,,
2007,,,0.821887,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,42,,2017.0,,,,,,,,,,,,,,,
2008,,0.7,0.849880,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,42,0.8,2017.0,0.710,,,,,,,,,,,,,,
2009,,52.4,0.875879,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,42,59.8,2017.0,52.350,,,,,,,,,,,,,,
